image,best_preset_by_length,max_output_length,best_preset_by_efficiency,best_efficiency,successful_presets
1.jpg,universal_doc,844,router_probe,1115.4731281154927,20
10.jpg,universal_doc,649,universal_doc,2063.85054710435,20
11.jpg,universal_doc,783,router_probe,1117.0987574128897,9
12.jpg,universal_doc,731,router_probe,1167.1864305596905,9
13.jpg,table_strict_md,747,universal_doc,3592.722060833038,9
14.jpg,universal_doc,1289,router_probe,1314.0569465344206,9
15.jpg,universal_doc,1261,router_probe,1055.4900017150012,9
16.jpg,universal_doc,664,universal_doc,2387.841084835977,9
17.jpg,universal_doc,1370,router_probe,1317.8461852161486,9
18.jpg,universal_doc,900,router_probe,1101.316638324002,9
2.jpg,universal_doc,1480,router_probe,1524.351167115639,9
3.jpg,universal_doc,640,universal_doc,4256.3199112062475,9
4.jpg,universal_doc,687,router_probe,1371.5381716973911,9
5.jpg,universal_doc,1637,router_probe,1018.771694519078,9
6.jpg,universal_doc,643,universal_doc,3641.9951519963915,9
7.jpg,universal_doc,948,router_probe,1041.446349987663,9
8.jpg,universal_doc,1077,router_probe,1386.836329464177,9
9.jpg,figure_bullets,1151,universal_doc,3529.47143057498,9
