model,preset,avg_inference_time,avg_tokens,images,total_time
GIT-base-coco-caption,chart_analysis,0.17214210828145346,9.333333333333334,18,12.63343095779419
GIT-base-coco-caption,comprehensive_caption,0.11637657218509251,9.0,18,12.63343095779419
GIT-base-coco-caption,precision_focused,0.13218960497114393,9.11111111111111,18,12.63343095779419
GIT-base-coco-caption,structured_analysis,0.14030957221984863,10.61111111111111,18,12.63343095779419
GIT-base-coco-caption,technical_description,0.14083941777547201,9.11111111111111,18,12.63343095779419
GIT-large-coco-caption,chart_analysis,0.3067166540357802,12.444444444444445,18,25.59364628791809
GIT-large-coco-caption,comprehensive_caption,0.2624298731486003,12.777777777777779,18,25.59364628791809
GIT-large-coco-caption,precision_focused,0.2885402970843845,12.944444444444445,18,25.59364628791809
GIT-large-coco-caption,structured_analysis,0.26893431610531277,13.166666666666666,18,25.59364628791809
GIT-large-coco-caption,technical_description,0.295248097843594,12.555555555555555,18,25.59364628791809
GIT-base-caption,chart_analysis,0.1687373717625936,9.277777777777779,18,12.913640022277832
GIT-base-caption,comprehensive_caption,0.13396522733900282,10.055555555555555,18,12.913640022277832
GIT-base-caption,precision_focused,0.13311375512017143,8.944444444444445,18,12.913640022277832
GIT-base-caption,structured_analysis,0.14421251085069445,10.777777777777779,18,12.913640022277832
GIT-base-caption,technical_description,0.1373955806096395,8.61111111111111,18,12.913640022277832
